"seqID"	"group"	"ind"	"preda"	"loca"	"dis"	"seqcall"	"first_call"	"elementA"	"elementB"	"elementD"	"elementE"	"propA"	"propB"	"propC"	"propD"	"propE"	"meaninterval"	"CVinterval"	"gramme-BB"	"gramme-BBBBB"	"gramme-BBBB"	"gramme-BBB"	"gramme-BBBDB"	"gramme-BBDB"	"gramme-BBDBB"	"gramme-BDB"	"gramme-BDBB"	"gramme-BDBBB"	"gramme-DB"	"gramme-DBB"	"gramme-DBBB"	"gramme-DBBBB"	"gramme-BBDD"	"gramme-BBDDB"	"gramme-BDD"	"gramme-BDDB"	"gramme-DD"	"gramme-DDB"	"gramme-DDBBD"	"gramme-DBBD"	"gramme-DBBDB"	"gramme-BBD"	"gramme-BD"	"gramme-BDBBD"	"gramme-BBDBD"	"gramme-BDBD"	"gramme-BDBDD"	"gramme-DBD"	"gramme-DBDD"	"gramme-BBBBD"	"gramme-BBBD"	"gramme-BDBDB"	"gramme-DBDB"	"gramme-ABBBB"	"gramme-BBBAB"	"gramme-BBAB"	"gramme-BBABB"	"gramme-BAB"	"gramme-BABB"	"gramme-BABBD"	"gramme-AB"	"gramme-ABB"	"gramme-ABBD"	"gramme-BDBBA"	"gramme-DBBA"	"gramme-DBBAB"	"gramme-BBA"	"gramme-BA"	"gramme-BABBA"	"gramme-ABBA"	"gramme-BABBB"	"gramme-ABBB"	"gramme-BDDBD"	"gramme-DDBD"	"gramme-DBBBD"	"gramme-BBBDD"	"gramme-AAABC"	"gramme-AABC"	"gramme-ABC"	"gramme-BC"	"gramme-BBBBN"	"gramme-BBBN"	"gramme-BBBNB"	"gramme-BBN"	"gramme-BBNB"	"gramme-BN"	"gramme-BNB"	"gramme-NB"	"gramme-BBNBB"	"gramme-BNBB"	"gramme-BNBBB"	"gramme-NBB"	"gramme-NBBB"	"gramme-CACCB"	"gramme-ACCB"	"gramme-CCB"	"gramme-CB"	"gramme-BABNB"	"gramme-ABNB"	"gramme-BBBCC"	"gramme-BBCC"	"gramme-BCC"	"gramme-CC"	"gramme-BBDDD"	"gramme-BDDD"	"gramme-DDD"	"gramme-AAAAA"	"gramme-AAAA"	"gramme-AAA"	"gramme-AA"	"gramme-BBBBA"	"gramme-BBBA"	"gramme-AAABA"	"gramme-AABA"	"gramme-ABA"	"gramme-EEEAB"	"gramme-EEAB"	"gramme-EAB"	"gramme-BDDDD"	"gramme-DDDD"	"gramme-DDDDB"	"gramme-DDDB"	"gramme-DDDBD"	"gramme-DBDDD"	"gramme-DDDBB"	"gramme-DDBB"	"gramme-DDBBB"	"gramme-DDDDD"	"gramme-DDBDB"	"gramme-DBDBB"	"gramme-DBDDB"	"gramme-BDDBB"	"bigrSlope"	"entroSlope"	"tpSA"	"tpSB"	"tpAA"	"tpAB"	"tpBA"	"tpBB"	"tpBD"	"tpDB"	"tpDD"	"Name_seq"	"Predator"	"Height_model"	"Height_ind"	"Num_ind"	"Num_In"	"Num_Jv"	"Num_Sb"	"Jv_fem"	"Sb_fem"	"Ad_fem"	"Paired_Ad"	"Non_paried_Ad"
"1"	3	"A"	"AR"	"Ter"	"Down"	6	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.248163265306123	0.615129586239912	40	36	37	38	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20150522-11h28-gA-predator_presentation_oncilla_ground"	"Onc"	"0,4"	5	6	0	1	1	1	1	2	2	2
"2"	4	"A"	"AP"	"Ter"	"Up"	17	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.331428571428572	0.302602887021013	25	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20150608-12h08-gA-predator_presentation_oncilla_canopy"	"Onc"	"10"	12	6	0	1	1	1	1	2	2	2
"3"	7	"A"	"AR"	"Ter"	"Up"	14	"ABBBBBBBBB"	"A"	-0.165144564768954	0.165144564768954	0	0	0.133333333333333	0.666666666666667	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.556326530612245	2.89009850389113	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.928571428571429	-0.248370832612177	0.666666666666667	0.333333333333333	0.166666666666667	0.333333333333333	0.0769230769230769	0.692307692307692	0.0769230769230769	0.2	0.2	"20160419-10h44-gA-presentation_predateur-tayra_canopy"	"Tay"	"6"	7	6	0	0	1	0	1	3	2	3
"4"	8	"A"	"AP"	"Ter"	"Down"	8	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.703877551020408	0.856465410205903	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160517-10h05-gA-presentation_predateur-tayra_ground"	"Tay"	"0"	8	6	0	0	1	0	1	3	2	3
"5"	11	"D"	"DT"	"Ter"	"Down"	4	"BBDDBBDBBD"	"B"	0	-0.0733975843417574	0.0733975843417573	0	0.0666666666666667	0.466666666666667	0.0666666666666667	0.333333333333333	0.0666666666666667	0.410204081632653	0.574234500949717	7	4	5	5	1	3	1	4	1	0	5	1	0	1	1	1	2	1	2	1	1	2	2	4	5	1	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.607142857142857	0.445530556036326	0.333333333333333	0.666666666666667	0.2	0.2	0.0909090909090909	0.363636363636364	0.363636363636364	0.375	0.25	"20150622-11h53-gD-predator_presentation_oncilla_ground"	"Onc"	"0"	4	6	2	0	1	0	0	1	2	1
"6"	13	"D"	"DG"	"Aer"	"Down"	8	"AAAAAAAABA"	"A"	-0.128445772598076	0.128445772598075	0	0	0.666666666666667	0.133333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.92061224489796	1.05539121557887	9	4	5	6	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	1	2	2	1	1	1	1	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.857142857142857	-0.00678663563457886	0.666666666666667	0.333333333333333	0.615384615384615	0.153846153846154	0.333333333333333	0.166666666666667	0.166666666666667	0.2	0.2	"20151109-09h15-gD-predator_presentation_caracara_ground"	"Rap"	"0"	6	6	2	0	1	0	0	1	2	1
"7"	14	"D"	"DN"	"Ter"	"Up"	7	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.462857142857143	0.473217199989711	11	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160613-13h30-gD-predator_presentation-tayra_canopy"	"Tay"	"6"	5	4	0	0	0	0	0	1	2	2
"8"	15	"D"	"DT"	"Ter"	"Down"	15	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.779387755102041	0.743885345404578	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160713-08h35-gD-predator_presentation_tayra_ground_part1"	"Tay"	"0"	9	5	1	0	0	0	0	1	2	2
"9"	17	"M"	"MN"	"Ter"	"Down"	7	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.385714285714286	0.813694867251424	17	14	15	16	2	2	1	3	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	2	3	0	1	1	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20150612-12h31-gM-presentation_predateur-oncilla_ground"	"Onc"	"0"	6	7	1	1	1	0	1	1	2	2
"10"	18	"M"	"ML"	"Ter"	"Up"	8	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.50673469387755	0.528010865044457	9	7	7	8	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20151026-08h40-gM-presentation_predateur-oncilla_canopy"	"Onc"	"4,5"	9	5	1	1	1	0	1	1	2	0
