Name_seq,Seq1,Group,Ind,Predator,Cat_preda,Location,Height_model,Distance,Height_ind,Num_ind,Type_young,Num_bebe,Type_fem,Paired_Ad,Non_paried_Ad
20150520-14h00-gR-predator_presentation_oncilla_ground,36,R,RK,Onc,Ter,Down,0,10,7,6,"In,In,Sb",2,Ad,2,1
20150522-11h28-gA-predator_presentation_oncilla_ground,3,A,AR,Onc,Ter,Down,"0,4",6,5,6,"Jv,Sb",0,"Jv,Sb,Ad,Ad",2,2
20150604-10h20-gR-predator_presentation_caracara_canopy_part1,40,R,RT,Rap,Aer,Up,8,14,2,6,"In,In,Sb",2,Ad,2,1
20150605-15h06-gP-predator_presentation-oncilla_ground,27,P,PT,Onc,Ter,Down,0,12,6,6,"In,Sb",1,Ad,2,2
20150608-12h08-gA-predator_presentation_oncilla_canopy,4,A,AP,Onc,Ter,Up,10,17,12,6,"Jv,Sb",0,"Jv,Sb,Ad,Ad",2,2
20150612-12h31-gM-presentation_predateur-oncilla_ground,17,M,MN,Onc,Ter,Down,0,7,6,7,"In,Jv,Sb",1,"Sb,Ad",2,2
20150622-11h53-gD-predator_presentation_oncilla_ground,11,D,DT,Onc,Ter,Down,0,4,4,6,"In,In,Sb",2,Ad,2,1
20151013-09h14-gR-predator_presentation_oncilla_canopy,37,R,RF,Onc,Ter,Up,5,10,4,4,Sb,0,Ad,2,1
20151016-10h55-gA-predator_presentation_caracara_canopy,53,A,AR,Rap,Aer,Up,4,7,7,6,"Jv,Sb",0,"Jv,Sb,Ad,Ad",2,2
20151026-08h40-gM-presentation_predateur-oncilla_canopy,18,M,ML,Onc,Ter,Up,"4,5",8,9,5,"In,Jv,Sb",1,"Sb,Ad",2,0
20151104-12h00-gS-predator_presentation_oncilla_ground,43,S,SV,Onc,Ter,Down,0,7,3,5,Sb,0,"Sb,Ad",2,2
20151106-15h18-gA-predator_presentation_caracara_ground,51,A,AR,Rap,Aer,Down,0,14,6,5,"Jv,Sb",0,"Jv,Sb,Ad",2,1
20151109-09h15-gD-predator_presentation_caracara_ground,13,D,DG,Rap,Aer,Down,0,8,6,6,"In,In,Sb",2,Ad,2,1
20160202-10h53-gM-predator_presentation-caracara_ground,21,M,ML,Rap,Aer,Down,0,8,6,5,"Jv,Sb",0,"Ad,Ad",2,1
20160208-11h35-gD-presentation_predateur-oncilla_canopy,52,D,DN?,Onc,Ter,Up,6,4,5,4,Sb,0,Ad,2,1
20160215-10h28-gP-predator-presentation_oncilla-up,28,P,PC,Onc,Ter,Up,5,12,4,5,Jv,0,"Ad,Jv",2,2
20160222-09h15-gS-predator-presentation_oncilla-up,44,S,SG,Onc,Ter,Up,7,9,6,4,NaN,0,"Ad,Ad",2,2
20160324-10h30-gS-predator-presentation_caracara_down,45,S,SH,Rap,Aer,Down,0,5,4,4,NaN,0,"Ad,Ad",2,2
20160419-10h44-gA-presentation_predateur-tayra_canopy,7,A,AR,Tay,Ter,Up,6,14,7,6,Sb,0,"Sb,Ad,Ad,Ad",2,3
20160427-12h18-gP-presentation_predateur-caracara_canopy,31,P,PC,Rap,Aer,Up,6,12,7,5,Jv,0,"Ad,Jv",2,2
20160502-12h38-gM-presentation_predateur-caracara_canopy,22,M,MR,Rap,Aer,Up,6,8,6,5,"Jv,Sb",0,"Ad,Ad",2,1
20160510-09h41-gS-presentation_predateur-caracara_canopy,46,S,SG,Rap,Aer,Up,7,16,7,4,NaN,0,"Ad,Ad",2,2
20160511-12h11-gP-presentation_predateur-caracara_ground,32,P,PS,Rap,Aer,Down,0,8,8,5,Jv,1,"Ad,Jv",2,2
20160517-10h05-gA-presentation_predateur-tayra_ground,8,A,AP,Tay,Ter,Down,0,8,8,6,Sb,0,"Sb,Ad,Ad,Ad",2,3
20160530-08h41-gP-predator_presentation_tayra_ground,33,P,PC,Tay,Ter,Down,0,8,6,5,Jv,2,"Ad,Jv",2,2
20160531-12h42-gS-predator_presentation_tayra_ground,47,S,SG,Tay,Ter,Down,0,10,7,4,NaN,0,"Ad,Ad",2,2
20160613-13h30-gD-predator_presentation-tayra_canopy,14,D,DN,Tay,Ter,Up,6,7,5,4,NaN,0,Ad,2,2
20160621-11h42-gS-predator_presentation-tayra_canopy,48,S,SG,Tay,Ter,Up,6,10,6,4,NaN,0,"Ad,Ad",2,2
20160629-11h57-gR-predator_presentation-tayra_canopy,41,R,RT,Tay,Ter,Up,"7,5",6,6,4,NaN,0,Ad,2,2
20160713-08h35-gD-predator_presentation_tayra_ground_part1,15,D,DT,Tay,Ter,Down,0,15,9,5,In,1,Ad,2,2
20160726-15h06-gM-predator_presentation-tayra_canopy,23,M,ML,Tay,Ter,Up,6,5,6,5,"Jv,Sb",0,"Ad,Ad",2,1
20160729-13h21-gP-predator_presentation-tayra_canopy,34,P,PP,Tay,Ter,Up,6,15,8,4,Jv,3,"Ad,Jv",2,1
20160802-09h31-gR-predator_presentation-tayra_down_part1,42,R,RK,Tay,Ter,Down,0,7,6,5,In,1,Ad,2,2
20160807-12h40-gM-predator_presentation-tayra_ground,24,M,MK,Tay,Ter,Down,0,8,6,5,"Jv,Sb",0,"Ad,Ad",2,1
